scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
room_1,1,0.078970,19,19,,-4.829546,-1.441063,0.424726,1.37
room_1,2,0.069600,15,15,,-4.829546,-1.441063,-0.075274,1.42
room_1,5,0.080760,20,20,,-4.329546,-1.441063,0.424726,1.34
room_1,6,0.069972,15,15,,-4.329546,-1.441063,-0.075274,1.34
room_1,9,0.073986,17,17,,-3.829546,-1.441063,1.424726,1.35
room_1,10,0.069262,15,15,,-3.829546,-1.441063,0.924726,1.34
room_1,11,0.067504,14,14,,-3.829546,-1.441063,0.424726,1.35
room_1,12,0.072953,16,16,,-3.829546,-1.441063,-0.075274,1.37
room_1,13,0.083466,21,21,,-3.829546,-1.441063,-0.575274,1.44
room_1,15,0.071172,15,15,,-3.329546,-1.441063,1.924726,1.36
room_1,16,0.063343,12,12,,-3.329546,-1.441063,1.424726,1.35
room_1,17,0.063698,12,12,,-3.329546,-1.441063,0.924726,1.33
room_1,18,0.067179,14,14,,-3.329546,-1.441063,0.424726,1.33
room_1,19,0.061176,12,12,,-3.329546,-1.441063,-0.075274,1.33
room_1,22,0.068946,15,15,,-2.829546,-1.441063,1.924726,1.34
room_1,23,0.058176,10,10,,-2.829546,-1.441063,1.424726,1.33
room_1,24,0.059340,11,11,,-2.829546,-1.441063,0.924726,1.29
room_1,25,0.063413,12,12,,-2.829546,-1.441063,0.424726,1.29
room_1,26,0.064630,13,13,,-2.829546,-1.441063,-0.075274,1.29
room_1,30,0.055646,10,10,,-2.329546,-1.441063,1.424726,1.30
room_1,31,0.057926,10,10,,-2.329546,-1.441063,0.924726,1.30
room_1,37,0.059603,11,11,,-1.829546,-1.441063,1.424726,1.33
room_1,45,0.054345,9,9,,-1.329546,-1.441063,0.924726,1.30
room_1,51,0.058574,11,11,,-0.829546,-1.441063,0.924726,1.32
room_1,59,0.063532,12,12,,-0.329546,-1.441063,0.424726,1.32
room_1,62,0.065944,13,13,,-0.329546,-1.441063,-1.075274,1.31
room_1,63,0.076322,18,18,,-0.329546,-1.441063,-1.575274,1.32
room_1,65,0.065934,13,13,,0.170454,-1.441063,0.424726,1.36
room_1,66,0.065708,13,13,,0.170454,-1.441063,-0.075274,1.34
room_1,67,0.065135,13,13,,0.170454,-1.441063,-0.575274,1.34
room_1,68,0.069573,15,15,,0.170454,-1.441063,-1.075274,1.32
room_1,69,0.079837,19,19,,0.170454,-1.441063,-1.575274,1.33
room_1,71,0.072901,16,16,,0.670454,-1.441063,0.424726,1.41
room_1,72,0.073069,16,16,,0.670454,-1.441063,-0.075274,1.35
room_1,73,0.060292,11,11,,0.670454,-1.441063,-0.575274,1.34
