scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
office_2,25,0.060396,11,11,,-1.190913,-1.267472,-1.226223,1.32
office_2,26,0.062815,12,12,,-1.190913,-1.267472,-1.726223,1.34
office_2,27,0.058515,11,11,,-1.190913,-1.267472,-2.226223,1.35
office_2,28,0.064780,13,13,,-1.190913,-1.267472,-2.726223,1.39
office_2,29,0.081196,20,20,,-1.190913,-1.267472,-3.226223,1.41
office_2,37,0.055811,10,10,,-0.690913,-1.267472,-1.226223,1.37
office_2,38,0.060880,11,11,,-0.690913,-1.267472,-1.726223,1.35
office_2,39,0.063456,12,12,,-0.690913,-1.267472,-2.226223,1.34
office_2,41,0.066977,14,14,,-0.690913,-1.267472,-3.226223,1.37
office_2,42,0.066139,13,13,,-0.690913,-1.267472,-3.726223,1.40
office_2,43,0.067077,14,14,,-0.690913,-1.267472,-4.226223,1.44
office_2,51,0.055881,10,10,,-0.190913,-1.267472,-0.726223,1.37
office_2,52,0.057039,10,10,,-0.190913,-1.267472,-1.226223,1.34
office_2,53,0.061341,12,12,,-0.190913,-1.267472,-1.726223,1.34
office_2,57,0.061357,12,12,,-0.190913,-1.267472,-3.726223,1.34
office_2,65,0.054205,9,9,,0.309087,-1.267472,-0.726223,1.36
office_2,66,0.053893,9,9,,0.309087,-1.267472,-1.226223,1.32
office_2,71,0.066382,14,14,,0.309087,-1.267472,-3.726223,1.32
office_2,72,0.079217,19,19,,0.309087,-1.267472,-4.226223,1.38
office_2,73,0.066166,13,13,,0.309087,-1.267472,-4.726223,1.42
office_2,77,0.054006,9,9,,0.809087,-1.267472,-0.726223,1.38
office_2,78,0.052833,9,9,,0.809087,-1.267472,-1.226223,1.33
office_2,83,0.070179,15,15,,0.809087,-1.267472,-3.726223,1.32
office_2,84,0.070519,15,15,,0.809087,-1.267472,-4.226223,1.37
office_2,87,0.052469,9,9,,1.309087,-1.267472,-1.226223,1.40
office_2,88,0.057647,10,10,,1.309087,-1.267472,-1.726223,1.32
office_2,91,0.064598,13,13,,1.309087,-1.267472,-3.226223,1.21
office_2,92,0.073336,16,16,,1.309087,-1.267472,-3.726223,1.10
office_2,93,0.079611,19,19,,1.309087,-1.267472,-4.226223,1.41
office_2,95,0.058273,11,11,,1.809087,-1.267472,-1.726223,1.39
office_2,96,0.055079,9,9,,1.809087,-1.267472,-2.226223,1.15
office_2,97,0.055075,9,9,,1.809087,-1.267472,-2.726223,1.14
office_2,98,0.065256,13,13,,1.809087,-1.267472,-3.226223,1.34
office_2,99,0.070772,15,15,,1.809087,-1.267472,-3.726223,0.98
office_2,100,0.060582,11,11,,2.309087,-1.267472,-2.726223,1.11
office_2,101,0.069662,15,15,,2.309087,-1.267472,-3.226223,0.98
office_2,102,0.069069,15,15,,2.309087,-1.267472,-3.726223,0.76
