scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
office_4,2,0.059676,11,11,,-0.681574,-1.238161,-0.176841,1.34
office_4,3,0.055916,10,10,,-0.681574,-1.238161,-0.676841,1.36
office_4,4,0.055606,10,10,,-0.681574,-1.238161,-1.176841,1.37
office_4,5,0.058159,10,10,,-0.681574,-1.238161,-1.676841,1.36
office_4,11,0.061759,12,12,,-0.181574,-1.238161,0.823159,1.35
office_4,12,0.058951,11,11,,-0.181574,-1.238161,0.323159,1.34
office_4,13,0.056739,10,10,,-0.181574,-1.238161,-0.176841,1.35
office_4,14,0.055950,10,10,,-0.181574,-1.238161,-0.676841,1.34
office_4,15,0.053128,9,9,,-0.181574,-1.238161,-1.176841,1.33
office_4,16,0.069422,15,15,,-0.181574,-1.238161,-1.676841,1.33
office_4,22,0.065043,13,13,,0.318426,-1.238161,0.823159,1.36
office_4,23,0.064097,13,13,,0.318426,-1.238161,0.323159,1.35
office_4,24,0.061661,12,12,,0.318426,-1.238161,-0.176841,1.36
office_4,25,0.063548,12,12,,0.318426,-1.238161,-0.676841,1.34
office_4,26,0.059486,11,11,,0.318426,-1.238161,-1.176841,1.33
office_4,27,0.057662,10,10,,0.318426,-1.238161,-1.676841,1.34
office_4,28,0.063418,12,12,,0.318426,-1.238161,-2.176841,1.31
office_4,29,0.063195,12,12,,0.318426,-1.238161,-2.676841,1.31
office_4,32,0.080787,20,20,,0.818426,-1.238161,1.823159,1.36
office_4,33,0.075572,17,17,,0.818426,-1.238161,1.323159,1.37
office_4,34,0.066432,14,14,,0.818426,-1.238161,0.823159,1.35
office_4,35,0.057606,10,10,,0.818426,-1.238161,0.323159,1.36
office_4,36,0.060743,11,11,,0.818426,-1.238161,-0.176841,1.32
office_4,37,0.061112,12,12,,0.818426,-1.238161,-0.676841,1.35
office_4,38,0.057776,10,10,,0.818426,-1.238161,-1.176841,1.31
office_4,39,0.055543,10,10,,0.818426,-1.238161,-1.676841,1.35
office_4,40,0.059192,11,11,,0.818426,-1.238161,-2.176841,1.35
office_4,41,0.062711,12,12,,0.818426,-1.238161,-2.676841,1.31
office_4,42,0.062142,12,12,,0.818426,-1.238161,-3.176841,1.34
office_4,43,0.080803,20,20,,0.818426,-1.238161,-3.676841,1.34
office_4,44,0.076916,18,18,,1.318426,-1.238161,1.823159,1.39
office_4,52,0.058515,11,11,,1.318426,-1.238161,-2.176841,1.30
office_4,53,0.060368,11,11,,1.318426,-1.238161,-2.676841,1.32
office_4,54,0.063154,12,12,,1.318426,-1.238161,-3.176841,1.31
office_4,55,0.063549,12,12,,1.318426,-1.238161,-3.676841,1.33
office_4,64,0.056501,10,10,,1.818426,-1.238161,-2.176841,1.34
office_4,65,0.060142,11,11,,1.818426,-1.238161,-2.676841,1.31
office_4,66,0.058572,11,11,,1.818426,-1.238161,-3.176841,1.32
office_4,67,0.060182,11,11,,1.818426,-1.238161,-3.676841,1.30
office_4,75,0.056255,10,10,,2.318426,-1.238161,-2.176841,1.31
office_4,76,0.060378,11,11,,2.318426,-1.238161,-2.676841,1.29
office_4,77,0.062475,12,12,,2.318426,-1.238161,-3.176841,1.32
office_4,78,0.059097,11,11,,2.318426,-1.238161,-3.676841,1.29
office_4,86,0.055460,10,10,,2.818426,-1.238161,-2.176841,1.31
office_4,87,0.059578,11,11,,2.818426,-1.238161,-2.676841,1.32
office_4,88,0.061913,12,12,,2.818426,-1.238161,-3.176841,1.33
office_4,89,0.063979,13,13,,2.818426,-1.238161,-3.676841,1.32
office_4,91,0.071762,16,16,,3.318426,-1.238161,0.823159,1.37
office_4,92,0.070972,15,15,,3.318426,-1.238161,0.323159,1.34
office_4,93,0.069712,15,15,,3.318426,-1.238161,-0.176841,1.33
office_4,94,0.066885,14,14,,3.318426,-1.238161,-0.676841,1.31
office_4,95,0.064526,13,13,,3.318426,-1.238161,-1.176841,1.32
office_4,96,0.061641,12,12,,3.318426,-1.238161,-1.676841,1.29
office_4,97,0.064048,13,13,,3.318426,-1.238161,-2.176841,1.31
office_4,98,0.063888,13,13,,3.318426,-1.238161,-2.676841,1.32
office_4,99,0.067015,14,14,,3.318426,-1.238161,-3.176841,1.35
office_4,101,0.073926,17,17,,3.818426,-1.238161,1.323159,1.39
office_4,102,0.069702,15,15,,3.818426,-1.238161,0.823159,1.31
office_4,103,0.074780,17,17,,3.818426,-1.238161,0.323159,1.30
office_4,104,0.069632,15,15,,3.818426,-1.238161,-0.176841,1.30
office_4,105,0.062328,12,12,,3.818426,-1.238161,-0.676841,1.31
office_4,106,0.061667,12,12,,3.818426,-1.238161,-1.176841,1.29
office_4,107,0.066346,14,14,,3.818426,-1.238161,-1.676841,1.30
office_4,108,0.063606,12,12,,3.818426,-1.238161,-2.176841,1.30
office_4,109,0.072361,16,16,,3.818426,-1.238161,-2.676841,1.31
office_4,110,0.071479,16,16,,3.818426,-1.238161,-3.176841,1.31
office_4,111,0.077991,18,18,,3.818426,-1.238161,-3.676841,1.34
office_4,112,0.072773,16,16,,4.318426,-1.238161,1.323159,1.36
office_4,113,0.071680,16,16,,4.318426,-1.238161,0.823159,1.32
office_4,114,0.079862,19,19,,4.318426,-1.238161,0.323159,1.33
office_4,115,0.076666,18,18,,4.318426,-1.238161,-0.176841,1.31
office_4,116,0.061886,12,12,,4.318426,-1.238161,-0.676841,1.30
office_4,117,0.060868,11,11,,4.318426,-1.238161,-1.176841,1.31
office_4,118,0.072237,16,16,,4.318426,-1.238161,-1.676841,1.32
office_4,119,0.066481,14,14,,4.318426,-1.238161,-2.176841,1.33
office_4,122,0.081958,20,20,,4.318426,-1.238161,-3.676841,1.34
