scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
apartment_0,4,0.089796,24,24,,-2.609645,-1.543482,4.183166,1.56
apartment_0,5,0.081897,20,20,,-2.609645,-1.543482,3.683166,1.57
apartment_0,6,0.082456,21,21,,-2.609645,-1.543482,3.183166,1.57
apartment_0,7,0.070030,15,15,,-2.609645,-1.543482,2.683166,1.58
apartment_0,8,0.083600,21,21,,-2.609645,-1.543482,2.183166,1.59
apartment_0,9,0.081880,20,20,,-2.609645,-1.543482,1.683166,1.58
apartment_0,10,0.087950,23,23,,-2.609645,-1.543482,1.183166,1.54
apartment_0,11,0.091905,25,25,,-2.609645,-1.543482,0.683166,1.57
apartment_0,15,0.087879,23,23,,-2.109645,-1.543482,6.183166,1.58
apartment_0,16,0.071945,16,16,,-2.109645,-1.543482,5.683166,1.62
apartment_0,17,0.078223,19,19,,-2.109645,-1.543482,5.183166,1.56
apartment_0,18,0.069995,15,15,,-2.109645,-1.543482,4.683166,1.54
apartment_0,19,0.077961,18,18,,-2.109645,-1.543482,4.183166,1.55
apartment_0,20,0.071480,16,16,,-2.109645,-1.543482,3.683166,1.52
apartment_0,21,0.073543,16,16,,-2.109645,-1.543482,3.183166,1.57
apartment_0,22,0.070710,15,15,,-2.109645,-1.543482,2.683166,1.57
apartment_0,23,0.071033,15,15,,-2.109645,-1.543482,2.183166,1.56
apartment_0,24,0.076282,18,18,,-2.109645,-1.543482,1.683166,1.58
apartment_0,25,0.078507,19,19,,-2.109645,-1.543482,1.183166,1.57
apartment_0,26,0.084145,21,21,,-2.109645,-1.543482,0.683166,1.53
apartment_0,35,0.069281,15,15,,-1.609645,-1.543482,5.683166,1.58
apartment_0,36,0.067339,14,14,,-1.609645,-1.543482,5.183166,1.55
apartment_0,37,0.061722,12,12,,-1.609645,-1.543482,4.683166,1.53
apartment_0,38,0.065576,13,13,,-1.609645,-1.543482,4.183166,1.57
apartment_0,40,0.062828,12,12,,-1.609645,-1.543482,3.183166,1.54
apartment_0,41,0.064126,13,13,,-1.609645,-1.543482,2.683166,1.52
apartment_0,42,0.069683,15,15,,-1.609645,-1.543482,2.183166,1.54
apartment_0,43,0.071507,16,16,,-1.609645,-1.543482,1.683166,1.53
apartment_0,44,0.083192,21,21,,-1.609645,-1.543482,1.183166,1.56
apartment_0,45,0.072036,16,16,,-1.609645,-1.543482,0.683166,1.57
apartment_0,53,0.068370,14,14,,-1.109645,-1.543482,5.683166,1.55
apartment_0,54,0.064855,13,13,,-1.109645,-1.543482,5.183166,1.57
apartment_0,55,0.061917,12,12,,-1.109645,-1.543482,4.683166,1.51
