scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
office_0,2,0.097918,29,29,,-1.305615,-0.897211,2.648780,1.25
office_0,3,0.076802,18,18,,-1.305615,-0.897211,2.148780,1.24
office_0,11,0.061705,12,12,,-0.805615,-0.897211,2.648780,1.24
office_0,12,0.067192,14,14,,-0.805615,-0.897211,2.148780,1.23
office_0,21,0.063259,12,12,,-0.305615,-0.897211,2.148780,1.22
office_0,22,0.062664,12,12,,-0.305615,-0.897211,1.648780,1.22
office_0,23,0.066452,14,14,,-0.305615,-0.897211,1.148780,1.23
office_0,30,0.058678,11,11,,0.194385,-0.897211,2.148780,1.25
office_0,31,0.063005,12,12,,0.194385,-0.897211,1.648780,1.23
office_0,32,0.057946,10,10,,0.194385,-0.897211,1.148780,1.23
office_0,36,0.058330,11,11,,0.194385,-0.897211,-0.851220,1.24
office_0,38,0.063227,12,12,,0.694385,-0.897211,2.148780,1.24
office_0,39,0.063633,12,12,,0.694385,-0.897211,1.648780,1.24
office_0,40,0.061878,12,12,,0.694385,-0.897211,1.148780,1.24
office_0,44,0.072044,16,16,,0.694385,-0.897211,-0.851220,1.24
office_0,46,0.073512,16,16,,1.194385,-0.897211,2.148780,1.24
office_0,47,0.066877,14,14,,1.194385,-0.897211,1.648780,1.26
office_0,48,0.062371,12,12,,1.194385,-0.897211,1.148780,1.23
office_0,49,0.068134,14,14,,1.194385,-0.897211,0.648780,1.24
office_0,50,0.062047,12,12,,1.194385,-0.897211,0.148780,1.25
office_0,51,0.061872,12,12,,1.194385,-0.897211,-0.351220,1.24
office_0,52,0.073003,16,16,,1.194385,-0.897211,-0.851220,1.25
office_0,53,0.073113,16,16,,1.194385,-0.897211,-1.351220,1.26
office_0,60,0.062695,12,12,,1.694385,-0.897211,-0.351220,1.27
office_0,61,0.086634,23,23,,1.694385,-0.897211,-0.851220,1.26
office_0,62,0.076357,18,18,,1.694385,-0.897211,-1.351220,1.26
