scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
frl_apartment_1,2,0.083129,21,21,,-2.971822,-1.527613,-0.146569,1.00
frl_apartment_1,3,0.089104,24,24,,-2.971822,-1.527613,-0.646569,1.04
frl_apartment_1,7,0.079210,19,19,,-2.471822,-1.527613,-0.146569,1.03
frl_apartment_1,8,0.076960,18,18,,-2.471822,-1.527613,-0.646569,1.05
frl_apartment_1,14,0.068331,14,14,,-1.971822,-1.527613,-0.146569,1.01
frl_apartment_1,15,0.078639,19,19,,-1.971822,-1.527613,-0.646569,1.04
frl_apartment_1,21,0.091247,25,25,,-1.471822,-1.527613,0.353431,1.00
frl_apartment_1,22,0.070924,15,15,,-1.471822,-1.527613,-0.146569,0.96
frl_apartment_1,23,0.068777,14,14,,-1.471822,-1.527613,-0.646569,1.02
frl_apartment_1,30,0.060173,11,11,,-0.971822,-1.527613,-0.146569,0.99
frl_apartment_1,31,0.062597,12,12,,-0.971822,-1.527613,-0.646569,1.02
frl_apartment_1,32,0.080467,20,20,,-0.971822,-1.527613,-1.146569,1.03
frl_apartment_1,39,0.069011,15,15,,-0.471822,-1.527613,0.353431,0.97
frl_apartment_1,40,0.062609,12,12,,-0.471822,-1.527613,-0.146569,1.03
frl_apartment_1,41,0.051493,8,8,,-0.471822,-1.527613,-0.646569,1.02
frl_apartment_1,49,0.064174,13,13,,0.028178,-1.527613,0.353431,0.98
frl_apartment_1,50,0.051049,8,8,,0.028178,-1.527613,-0.146569,1.00
frl_apartment_1,51,0.046597,7,7,,0.028178,-1.527613,-0.646569,1.03
frl_apartment_1,54,0.044855,6,6,,0.028178,-1.527613,-3.646569,0.79
frl_apartment_1,55,0.047853,7,7,,0.028178,-1.527613,-4.146568,0.98
frl_apartment_1,56,0.062884,12,12,,0.028178,-1.527613,-4.646568,1.01
frl_apartment_1,60,0.047983,7,7,,0.528178,-1.527613,-0.146569,1.23
frl_apartment_1,61,0.046040,7,7,,0.528178,-1.527613,-0.646569,1.05
frl_apartment_1,65,0.051491,8,8,,0.528178,-1.527613,-3.146569,0.85
frl_apartment_1,66,0.036678,4,6,min,0.528178,-1.527613,-3.646569,0.98
frl_apartment_1,67,0.046480,7,7,,0.528178,-1.527613,-4.146568,0.99
frl_apartment_1,68,0.041694,6,6,,0.528178,-1.527613,-4.646568,1.03
frl_apartment_1,73,0.051272,8,8,,1.028178,-1.527613,-0.146569,1.18
frl_apartment_1,74,0.043178,6,6,,1.028178,-1.527613,-0.646569,0.94
frl_apartment_1,75,0.043478,6,6,,1.028178,-1.527613,-1.146569,0.91
frl_apartment_1,76,0.044210,6,6,,1.028178,-1.527613,-1.646569,0.90
frl_apartment_1,77,0.045366,7,7,,1.028178,-1.527613,-2.146569,0.92
frl_apartment_1,78,0.046249,7,7,,1.028178,-1.527613,-2.646569,0.94
frl_apartment_1,79,0.035873,4,6,min,1.028178,-1.527613,-3.146569,0.95
frl_apartment_1,80,0.034452,4,6,min,1.028178,-1.527613,-3.646569,0.92
frl_apartment_1,81,0.040498,5,6,min,1.028178,-1.527613,-4.146568,0.92
frl_apartment_1,82,0.044558,6,6,,1.028178,-1.527613,-4.646568,0.97
frl_apartment_1,83,0.060381,11,11,,1.028178,-1.527613,-5.146568,0.99
frl_apartment_1,87,0.049508,8,8,,1.528178,-1.527613,-0.146569,0.99
frl_apartment_1,88,0.040879,5,6,min,1.528178,-1.527613,-0.646569,0.93
frl_apartment_1,89,0.043648,6,6,,1.528178,-1.527613,-1.146569,0.96
frl_apartment_1,90,0.040125,5,6,min,1.528178,-1.527613,-1.646569,0.96
frl_apartment_1,91,0.041618,6,6,,1.528178,-1.527613,-2.146569,0.95
frl_apartment_1,92,0.042023,6,6,,1.528178,-1.527613,-2.646569,0.98
frl_apartment_1,93,0.033900,4,6,min,1.528178,-1.527613,-3.146569,0.99
frl_apartment_1,94,0.030193,3,6,min,1.528178,-1.527613,-3.646569,0.99
frl_apartment_1,95,0.038736,5,6,min,1.528178,-1.527613,-4.146568,1.00
frl_apartment_1,96,0.040814,5,6,min,1.528178,-1.527613,-4.646568,1.00
frl_apartment_1,97,0.055494,10,10,,1.528178,-1.527613,-5.146568,1.04
frl_apartment_1,100,0.049439,8,8,,2.028178,-1.527613,-0.146569,1.09
frl_apartment_1,101,0.043081,6,6,,2.028178,-1.527613,-0.646569,0.98
frl_apartment_1,102,0.042021,6,6,,2.028178,-1.527613,-1.146569,0.98
frl_apartment_1,103,0.043782,6,6,,2.028178,-1.527613,-1.646569,0.97
frl_apartment_1,106,0.031155,3,6,min,2.028178,-1.527613,-3.146569,0.92
frl_apartment_1,107,0.030875,3,6,min,2.028178,-1.527613,-3.646569,0.99
frl_apartment_1,108,0.032496,4,6,min,2.028178,-1.527613,-4.146568,0.99
frl_apartment_1,109,0.036399,4,6,min,2.028178,-1.527613,-4.646568,0.99
frl_apartment_1,113,0.047399,7,7,,2.528178,-1.527613,-0.146569,1.12
frl_apartment_1,114,0.040852,5,6,min,2.528178,-1.527613,-0.646569,1.00
frl_apartment_1,115,0.038276,5,6,min,2.528178,-1.527613,-1.146569,0.99
frl_apartment_1,116,0.041935,6,6,,2.528178,-1.527613,-1.646569,0.97
frl_apartment_1,119,0.038269,5,6,min,2.528178,-1.527613,-3.146569,0.92
frl_apartment_1,120,0.030032,3,6,min,2.528178,-1.527613,-3.646569,0.97
frl_apartment_1,121,0.032971,4,6,min,2.528178,-1.527613,-4.146568,0.97
frl_apartment_1,122,0.035612,4,6,min,2.528178,-1.527613,-4.646568,0.92
frl_apartment_1,127,0.042324,6,6,,3.028178,-1.527613,-0.646569,1.11
frl_apartment_1,128,0.043082,6,6,,3.028178,-1.527613,-1.146569,0.99
frl_apartment_1,129,0.040834,5,6,min,3.028178,-1.527613,-1.646569,0.97
frl_apartment_1,132,0.034293,4,6,min,3.028178,-1.527613,-3.146569,0.96
frl_apartment_1,133,0.029483,3,6,min,3.028178,-1.527613,-3.646569,0.96
