scene,location_id,escape,escape_unweighted,max_depth,esc_60_90,esc_30_60,esc_10_30,esc_-10_10,esc_-90_-10
office_1,5,4.7015640891063136e-05,3.814697265625e-05,3.635875701904297,0.0,0.0,0.0,0.0,0.00011342214610799613
office_1,10,0.0,0.0,3.148317813873291,0.0,0.0,0.0,0.0,0.0
office_1,11,0.0,0.0,3.1542959213256836,0.0,0.0,0.0,0.0,0.0
office_1,14,0.0,0.0,2.652299165725708,0.0,0.0,0.0,0.0,0.0
office_1,15,0.0,0.0,2.6438565254211426,0.0,0.0,0.0,0.0,0.0
office_1,16,0.0,0.0,2.6412758827209473,0.0,0.0,0.0,0.0,0.0
office_1,20,0.0,0.0,2.6458992958068848,0.0,0.0,0.0,0.0,0.0
office_1,22,0.0,0.0,2.6414008140563965,0.0,0.0,0.0,0.0,0.0
office_1,23,0.0,0.0,3.043792486190796,0.0,0.0,0.0,0.0,0.0
office_1,27,1.8866518818971778e-05,1.52587890625e-05,3.1364874839782715,0.0,0.0,0.0,0.0,4.551423767662454e-05
office_1,28,3.1532376194007236e-05,3.0517578125e-05,3.145071506500244,0.0,7.184102844259164e-05,0.0,0.0,4.4836019841535576e-05
office_1,31,1.8804487425311584e-05,1.52587890625e-05,3.6455137729644775,0.0,0.0,0.0,0.0,4.536459101305335e-05
office_1,32,6.314616062093907e-05,6.103515625e-05,3.630918502807617,0.0,0.00013902795509164513,0.0,0.0,9.189185945411625e-05
office_1,33,1.1356007581417437e-05,7.62939453125e-06,3.644009590148926,0.0,0.0,0.0,0.0,2.7395622535220427e-05
office_1,35,1.871259138966665e-05,1.52587890625e-05,4.146249771118164,0.0,5.1661804794216253e-05,0.0,0.0,2.2682295506526676e-05
office_1,36,2.053628600806608e-05,1.52587890625e-05,4.140928268432617,0.0,5.267378417986505e-05,0.0,0.0,2.664186857844295e-05
