scene,location_id,escape,escape_unweighted,max_depth,esc_60_90,esc_30_60,esc_10_30,esc_-10_10,esc_-90_-10
room_1,1,1.092602157485089e-05,7.62939453125e-06,6.067331314086914,0.0,0.0,0.0,0.0,2.6358309531784265e-05
room_1,2,0.0,0.0,6.062288761138916,0.0,0.0,0.0,0.0,0.0
room_1,5,0.0,0.0,5.560949325561523,0.0,0.0,0.0,0.0,0.0
room_1,6,0.0,0.0,5.570735931396484,0.0,0.0,0.0,0.0,0.0
room_1,9,0.0,0.0,5.063189506530762,0.0,0.0,0.0,0.0,0.0
room_1,10,0.0,0.0,5.069155693054199,0.0,0.0,0.0,0.0,0.0
room_1,11,0.0,0.0,5.065329551696777,0.0,0.0,0.0,0.0,0.0
room_1,12,0.0,0.0,5.0644121170043945,0.0,0.0,0.0,0.0,0.0
room_1,13,0.0,0.0,5.071300983428955,0.0,0.0,0.0,0.0,0.0
room_1,15,0.0,0.0,4.560559272766113,0.0,0.0,0.0,0.0,0.0
room_1,16,0.0,0.0,4.56813383102417,0.0,0.0,0.0,0.0,0.0
room_1,17,0.0,0.0,4.569004535675049,0.0,0.0,0.0,0.0,0.0
room_1,18,0.0,0.0,4.558700084686279,0.0,0.0,0.0,0.0,0.0
room_1,19,0.0,0.0,4.557833194732666,0.0,0.0,0.0,0.0,0.0
room_1,22,0.0,0.0,4.559195518493652,0.0,0.0,0.0,0.0,0.0
room_1,23,0.0,0.0,4.086363792419434,0.0,0.0,0.0,0.0,0.0
room_1,24,0.0,0.0,4.072872638702393,0.0,0.0,0.0,0.0,0.0
room_1,25,0.0,0.0,4.063107967376709,0.0,0.0,0.0,0.0,0.0
room_1,26,0.0,0.0,4.051431655883789,0.0,0.0,0.0,0.0,0.0
room_1,30,0.0,0.0,4.093542575836182,0.0,0.0,0.0,0.0,0.0
room_1,31,0.0,0.0,3.583303451538086,0.0,0.0,0.0,0.0,0.0
room_1,37,3.5094332083109194e-05,2.288818359375e-05,4.1040568351745605,0.0,0.0,0.0,0.0,8.466277148738318e-05
room_1,45,0.0,0.0,4.056917667388916,0.0,0.0,0.0,0.0,0.0
room_1,51,0.0,0.0,4.557214260101318,0.0,0.0,0.0,0.0,0.0
room_1,59,0.0,0.0,5.067624568939209,0.0,0.0,0.0,0.0,0.0
room_1,62,0.0,0.0,5.0729875564575195,0.0,0.0,0.0,0.0,0.0
room_1,63,0.0,0.0,5.052059173583984,0.0,0.0,0.0,0.0,0.0
room_1,65,0.0,0.0,5.555425643920898,0.0,0.0,0.0,0.0,0.0
room_1,66,1.1308165263629996e-05,7.62939453125e-06,5.565930366516113,0.0,0.0,0.0,0.0,2.7280206085388222e-05
room_1,67,0.0,0.0,5.570180892944336,0.0,0.0,0.0,0.0,0.0
room_1,68,0.0,0.0,5.546976566314697,0.0,0.0,0.0,0.0,0.0
room_1,69,0.0,0.0,5.572956085205078,0.0,0.0,0.0,0.0,0.0
room_1,71,0.0,0.0,6.070184707641602,0.0,0.0,0.0,0.0,0.0
room_1,72,0.0,0.0,6.062069892883301,0.0,0.0,0.0,0.0,0.0
room_1,73,0.0,0.0,6.052011013031006,0.0,0.0,0.0,0.0,0.0
