scene,location_id,escape,escape_unweighted,max_depth,esc_60_90,esc_30_60,esc_10_30,esc_-10_10,esc_-90_-10
office_0,2,7.736984208483327e-05,5.340576171875e-05,4.443869590759277,0.0,0.0,0.0,0.0,0.0001866496631117201
office_0,3,0.00011216963258230356,7.62939453125e-05,3.944371461868286,0.0,0.0,0.0,0.0,0.0002706018723664492
office_0,11,3.373446132500651e-05,2.288818359375e-05,4.4444580078125,0.0,0.0,0.0,0.0,8.13821725868834e-05
office_0,12,9.2887548547166e-05,6.103515625e-05,3.942981243133545,0.0,0.0,0.0,0.0,0.0002240851108962095
office_0,21,0.0001546968088199846,0.0001068115234375,3.9421474933624268,0.0,0.0,0.0,0.0,0.00037319589225797914
office_0,22,0.00013732290326064645,9.1552734375e-05,3.450361728668213,0.0,0.0,0.0,0.0,0.0003312824860495284
office_0,23,0.000259130802689367,0.00017547607421875,2.9459850788116455,0.0,0.0,0.0,0.0,0.0006251360442329409
office_0,30,0.00017058712867225318,0.00011444091796875,3.9454848766326904,0.0,0.0,0.0,0.0,0.00041153024537597286
office_0,31,0.00019427708466176997,0.00012969970703125,3.445260524749756,0.0,0.0,0.0,0.0,0.00046868070846889896
office_0,32,0.00030348909769168693,0.00020599365234375,2.944537401199341,0.0,0.0,0.0,0.0,0.0007321475178936363
office_0,36,0.0002091095074448083,0.00017547607421875,4.001856803894043,0.0,0.0,0.0,0.0,0.0005044629543800278
office_0,38,0.0002715855945032965,0.00018310546875,3.9449281692504883,0.0,0.0,0.0,0.0,0.0006551824115713621
office_0,39,0.00021645269197857186,0.00014495849609375,3.4451191425323486,0.0,0.0,0.0,0.0,0.0005221779048369687
office_0,40,0.0003247887876875404,0.00022125244140625,2.9439172744750977,0.0,0.0,0.0,0.0,0.0007835316212468659
office_0,44,0.0004832145578113989,0.00045013427734375,4.001761436462402,0.0,0.0,0.0,0.0,0.0011657233877676043
office_0,46,0.00020717507618757405,0.0001373291015625,3.9439079761505127,0.0,0.0,0.0,0.0,0.0004997962660070612
office_0,47,0.0003068804467023136,0.00020599365234375,3.4444825649261475,0.0,0.0,0.0,0.0,0.0007403289246701122
office_0,48,0.0003242167000181199,0.00022125244140625,3.194171190261841,0.0,0.0,0.0,0.0,0.0007821514973136849
office_0,49,0.00045611080464585675,0.0003204345703125,3.1983728408813477,0.0,0.0,0.0,0.0,0.0011003373631733606
office_0,50,0.0006913072126076715,0.00051116943359375,3.1984336376190186,0.0,0.0,0.0,0.0,0.0016677332519102843
office_0,51,0.0008554060211399068,0.00069427490234375,3.4995169639587402,0.0,0.0,0.0,0.0,0.0020636108510398367
office_0,52,0.0007123850642716875,0.00070953369140625,3.998232841491699,0.0,0.0,0.0,0.0,0.0017185821848561952
office_0,53,4.717802239913894e-05,6.103515625e-05,4.496150016784668,0.0,0.0,0.0,0.0,0.00011381388083255055
office_0,60,0.0008628530790868111,0.00069427490234375,3.6993703842163086,0.0,0.0,0.0,0.0,0.002081576389284558
office_0,61,0.0007565392792336229,0.000732421875,4.001474857330322,0.0,0.0,0.0,0.0,0.0018251013288215058
office_0,62,0.0,0.0,4.503874778747559,0.0,0.0,0.0,0.0,0.0
